FocusSector,Region,Market,Symbol,Name,Industry Group,Country,Close,Turnover_USD,Above200DMA,Ret252
Electronics & Semiconductors,Foreign,US,MCHP,MICROCHIP TECHNOLOGY INC,Semiconductor,United States,87.93000030517578,1125103659.0,True,
Electronics & Semiconductors,Foreign,US,AXTI,AXT INC,Semiconductor Equip,United States,70.1500015258789,995664137.0,True,
Electronics & Semiconductors,Foreign,US,FLEX,FLEX LTD.,Electronics (General),United States,146.6999969482422,937784044.0,True,
Electronics & Semiconductors,Foreign,US,FSLR,"FIRST SOLAR, INC.",Semiconductor,United States,239.07000732421875,640807859.0,True,
Electronics & Semiconductors,Foreign,US,MTSI,"MACOM Technology Solutions Holdings, Inc.",Semiconductor,United States,369.17999267578125,635710240.0,True,
Electronics & Semiconductors,Foreign,US,NVTS,Navitas Semiconductor Corp,Semiconductor,United States,17.299999237060547,625464416.0,True,
Electronics & Semiconductors,Foreign,US,SMTC,SEMTECH CORP,Semiconductor,United States,149.75,561312236.0,True,
Electronics & Semiconductors,Foreign,US,ENTG,ENTEGRIS INC,Semiconductor Equip,United States,161.42999267578125,544422143.0,True,
Electronics & Semiconductors,Foreign,US,JBL,JABIL INC,Electronics (General),United States,358.6000061035156,541929191.0,True,
Electronics & Semiconductors,Foreign,US,NTAP,"NetApp, Inc.",Computers/Peripherals,United States,152.4499969482422,508168696.0,True,
Electronics & Semiconductors,Foreign,US,AMKR,"AMKOR TECHNOLOGY, INC.",Semiconductor Equip,United States,78.72000122070312,479939142.0,True,
Electronics & Semiconductors,Foreign,US,VSH,VISHAY INTERTECHNOLOGY INC,Electronics (General),United States,56.349998474121094,478316147.0,True,
Electronics & Semiconductors,Foreign,US,KEYS,"Keysight Technologies, Inc.",Electronics (General),United States,328.6600036621094,461218254.0,True,
Electronics & Semiconductors,Foreign,US,HPQ,HP INC,Computers/Peripherals,United States,22.8799991607666,428368501.0,True,
Electronics & Semiconductors,Foreign,US,TTMI,TTM TECHNOLOGIES INC,Electronics (General),United States,191.49000549316406,415346612.0,True,
