FocusSector,Industry Group,Country,Exchange,Ticker,Company Name,Market,Turnover_USD,Above200DMA,Ret252,profit_margin,roe,revenue_growth,verified,yf,unverified_reason,expansion_signal
Medical Devices,Healthcare Products,China,SZSE,300396,"Dirui Industrial Co.,Ltd. (SZSE:300396)",CN,,,,-0.24289,-0.11995,0.371,NOT-PROFITABLE,300396.SZ,,True
Medical Devices,Healthcare Products,China,SZSE,002901,Double Medical Technology Inc. (SZSE:002901),CN,,,,0.23888999,0.19165,0.166,PROFITABLE,002901.SZ,,True
Medical Devices,Healthcare Products,China,SZSE,300206,"Edan Instruments, Inc. (SZSE:300206)",CN,,,,0.16498,0.15967,0.228,PROFITABLE,300206.SZ,,True
Medical Devices,Healthcare Products,China,SHSE,688050,"Eyebright Medical Technology (Beijing) Co., Ltd. (SHSE:688050)",CN,,,,0.17384,0.08169,0.115,PROFITABLE,688050.SS,,True
Medical Devices,Healthcare Products,China,SEHK,2407,Gaush Meditech Ltd (SEHK:2407),CN,,,,0.06968,0.05552,-0.075,PROFITABLE,2407.HK,,False
Medical Devices,Healthcare Products,China,SZSE,300246,"Guangdong Biolight Meditech Co., Ltd. (SZSE:300246)",CN,,,,-0.063379996,-0.052259997,-0.019,NOT-PROFITABLE,300246.SZ,,False
Medical Devices,Healthcare Products,China,SZSE,300562,"Guangdong Transtek Medical Electronics Co., Ltd (SZSE:300562)",CN,,,,0.09144,0.08754,0.038,PROFITABLE,300562.SZ,,False
Medical Devices,Healthcare Products,China,SHSE,688026,"Guangzhou Jet Bio-Filtration Co., Ltd. (SHSE:688026)",CN,,,,0.050100002,0.02238,-0.129,PROFITABLE,688026.SS,,False
Medical Devices,Healthcare Products,China,SHSE,688393,"Guangzhou LBP Medicine Science & Technology Co., Ltd. (SHSE:688393)",CN,,,,-0.10754,-0.03388,0.097,NOT-PROFITABLE,688393.SS,,False
Medical Devices,Healthcare Products,China,SZSE,300482,"Guangzhou Wondfo Biotech Co.,Ltd (SZSE:300482)",CN,,,,-0.08979,-0.03041,-0.273,NOT-PROFITABLE,300482.SZ,,False
Medical Devices,Healthcare Products,China,SHSE,688581,"Hangzhou AGS MedTech Co., Ltd. (SHSE:688581)",CN,,,,0.36064,0.08568,-0.073,PROFITABLE,688581.SS,,False
Medical Devices,Healthcare Products,China,SHSE,688606,"Hangzhou Alltest Biotech Co., Ltd. (SHSE:688606)",CN,,,,0.19990999,0.04547,-0.063,PROFITABLE,688606.SS,,False
Medical Devices,Healthcare Products,China,SZSE,301371,"Harbin Fuerjia Technology Co., Ltd. (SZSE:301371)",CN,,,,0.23959999,0.08826999,0.821,PROFITABLE,301371.SZ,,True
Medical Devices,Healthcare Products,China,SHSE,688151,"Hubei Huaqiang High-Tech Co., Ltd. (SHSE:688151)",CN,,,,0.07092,0.01121,0.595,PROFITABLE,688151.SS,,True
Medical Devices,Healthcare Products,China,SHSE,688253,"Innovita Biological Technology Co., Ltd. (SHSE:688253)",CN,,,,0.27732,0.0432,-0.474,PROFITABLE,688253.SS,,False
Medical Devices,Healthcare Products,China,SZSE,300677,"Intco Medical Technology Co., Ltd. (SZSE:300677)",CN,,,,0.06474,0.038039997,0.158,PROFITABLE,300677.SZ,,True
Medical Devices,Healthcare Products,China,SZSE,300529,"Jafron Biomedical Co.,Ltd. (SZSE:300529)",CN,,,,0.27492002,0.15984,-0.196,PROFITABLE,300529.SZ,,False
Medical Devices,Healthcare Products,China,SEHK,9877,"Jenscare Scientific Co., Ltd. (SEHK:9877)",CN,,,,-2.99413,-0.32271,,NOT-PROFITABLE,9877.HK,,False
Medical Devices,Healthcare Products,China,SHSE,603205,"Jianerkang Medical Co.,Ltd. (SHSE:603205)",CN,,,,0.10779,0.07407,-0.012,PROFITABLE,603205.SS,,False
Medical Devices,Healthcare Products,China,SZSE,300753,"Jiangsu Apon Medical Technology Co., Ltd. (SZSE:300753)",CN,,,,-0.03115,-0.01979,0.054,NOT-PROFITABLE,300753.SZ,,False
Medical Devices,Healthcare Products,China,SHSE,688399,"Jiangsu Bioperfectus Technologies Co., Ltd. (SHSE:688399)",CN,,,,-0.100530006,-0.01055,-0.142,NOT-PROFITABLE,688399.SS,,False
Medical Devices,Healthcare Products,China,SZSE,301290,"Jiangsu Canopus Wisdom Medical Technology Co.,Ltd. (SZSE:301290)",CN,,,,-0.08026,-0.01535,0.157,NOT-PROFITABLE,301290.SZ,,True
Medical Devices,Healthcare Products,China,SZSE,301093,"Jiangsu Hualan New Pharmaceutical Material Co.,Ltd. (SZSE:301093)",CN,,,,0.07027,0.01868,-0.11,PROFITABLE,301093.SZ,,False
Medical Devices,Healthcare Products,China,SHSE,603880,"Jiangsu Nanfang Medical Co., Ltd. (SHSE:603880)",CN,,,,-0.16912001,-0.43318,-0.093,NOT-PROFITABLE,603880.SS,,False
Medical Devices,Healthcare Products,China,SZSE,300165,"Jiangsu Skyray Instrument Co., Ltd. (SZSE:300165)",CN,,,,-0.35708,-0.19319001,0.051,NOT-PROFITABLE,300165.SZ,,False
Medical Devices,Healthcare Products,China,SZSE,002223,"Jiangsu Yuyue Medical Equipment & Supply Co., Ltd. (SZSE:002223)",CN,,,,0.16292,0.0956,-0.027,PROFITABLE,002223.SZ,,False
