FocusSector,Region,Market,Symbol,Name,Industry Group,Country,Close,Turnover_USD,Above200DMA,Ret252,yf,profit_margin,roe,revenue_growth,verified,expansion_signal
Pharma & Bulk Drugs,India,IN,GLENMARK,GLENMARK PHARMACEUTICALS,Drugs (Pharmaceutical),India,2204.300048828125,12437751.0,True,34.6795450962071,GLENMARK.NS,0.08019,0.14069,0.143,PROFITABLE,True
Shipbuilding & Marine,Foreign,US,KEX,KIRBY CORP,Shipbuilding & Marine,United States,136.77999877929688,67091170.0,True,,KEX,0.10512,0.10689,0.074,PROFITABLE,False
Shipbuilding & Marine,Foreign,US,MATX,"Matson, Inc.",Shipbuilding & Marine,United States,194.4900054931641,50120699.0,True,,MATX,0.12923999,0.16001,-0.031,PROFITABLE,False
Shipbuilding & Marine,Foreign,US,GNK,GENCO SHIPPING & TRADING LTD,Shipbuilding & Marine,United States,23.56999969482422,7766037.0,True,,GNK,0.04378,0.019,0.606,PROFITABLE,True
Shipbuilding & Marine,India,IN,SCI,SERVICE CORP INTERNATIONAL,Shipbuilding & Marine,India,305.29998779296875,135223735.0,True,39.02549148794452,SCI.NS,0.01102,,0.142,UNVERIFIED,True
Shipbuilding & Marine,India,IN,ADANIPORTS,ADANI PORT & SEZ LTD,Shipbuilding & Marine,India,1810.199951171875,42426004.0,True,34.158444057275794,ADANIPORTS.NS,0.33060002,0.15592,0.265,PROFITABLE,True
Shipbuilding & Marine,India,IN,JSWINFRA,JSW INFRASTRUCTURE LTD,Shipbuilding & Marine,India,322.1499938964844,11158325.0,True,6.902268913783871,JSWINFRA.NS,0.28381002,0.13948,0.184,PROFITABLE,True
Shipbuilding & Marine,India,IN,SHREEJISPG,SHREEJI SHIPPING GLOBAL L,Shipbuilding & Marine,India,491.2999877929687,5765174.0,True,,SHREEJISPG.NS,0.21525,0.2987,0.205,PROFITABLE,True
Shipbuilding & Marine,India,IN,NAVKARCORP,NAVKAR CORPORATION LTD.,Shipbuilding & Marine,India,107.41999816894533,625495.0,True,-1.494731625123258,NAVKARCORP.NS,0.053790003,,0.383,UNVERIFIED,True
Specialty Steel & Metals,Foreign,US,FCX,FREEPORT-MCMORAN INC,Metals & Mining,United States,62.45000076293945,984074746.0,True,,FCX,0.10344,0.15630999,0.088,PROFITABLE,False
Specialty Steel & Metals,Foreign,US,NUE,NUCOR CORP,Steel,United States,239.77999877929688,399163171.0,True,,NUE,0.06824,0.12285,0.213,PROFITABLE,True
Specialty Steel & Metals,Foreign,US,USAR,"USA Rare Earth, Inc.",Metals & Mining,United States,20.469999313354492,363506398.0,True,,USAR,0.0,-0.44776002,,NOT-PROFITABLE,False
Specialty Steel & Metals,Foreign,US,STLD,STEEL DYNAMICS INC,Steel,United States,245.4900054931641,299444377.0,True,,STLD,0.07216,0.15247,0.191,PROFITABLE,True
Specialty Steel & Metals,Foreign,US,SCCO,SOUTHERN COPPER CORP/,Metals & Mining,United States,171.25999450683594,284397883.0,True,,SCCO,0.34131,0.46343,0.362,PROFITABLE,True
Specialty Steel & Metals,Foreign,US,CENX,CENTURY ALUMINUM CO,Metals & Mining,United States,46.33000183105469,135667152.0,True,,CENX,0.13676,0.32259998,0.024,PROFITABLE,False
Specialty Steel & Metals,Foreign,US,RS,"RELIANCE, INC.",Steel,United States,385.7799987792969,131723845.0,True,,RS,0.054229997,0.11326,0.155,PROFITABLE,True
Specialty Steel & Metals,Foreign,US,MTRN,MATERION Corp,Metals & Mining,United States,287.0199890136719,96285603.0,True,,MTRN,0.039920002,0.08293,0.308,PROFITABLE,True
